credit_card_number,credit_card_provider,transaction_type,event_ts,transaction_currency,transaction_amount
4059440389661927,VISA 13 digit,purchase,2024-03-17T14:56:00.000Z,COP,89761
2657655523558941,Diners Club / Carte Blanche,purchase,2024-03-08T09:42:00.000Z,COP,131711
348192187924754,JCB 16 digit,cash_advance,2024-02-21T08:30:00.000Z,COP,191047
2338611900439913,VISA 19 digit,purchase,2024-01-10T05:49:00.000Z,BRL,221879
6595290541044363,VISA 16 digit,cash_advance,2024-02-16T06:42:00.000Z,USD,155527
6591669707485243,VISA 13 digit,purchase,2024-01-06T23:33:00.000Z,MEX,111627
564825298396,VISA 16 digit,purchase,2024-02-28T05:42:00.000Z,USD,159898
36341496765740,JCB 15 digit,purchase,2024-03-22T14:51:00.000Z,COP,166699
639039591297,VISA 16 digit,purchase,2024-03-28T08:11:00.000Z,ARS,182729
347947303103158,JCB 16 digit,cash_advance,2024-03-20T18:31:00.000Z,COP,157968
4371633959023814,JCB 15 digit,cash_advance,2024-02-15T11:21:00.000Z,COP,181419
180057673662195,VISA 16 digit,purchase,2024-01-16T05:45:00.000Z,COP,35777
6011162833327432,JCB 16 digit,purchase,2024-03-11T06:47:00.000Z,COP,130164
180037428395218,VISA 16 digit,purchase,2024-02-07T18:25:00.000Z,COP,195412
213126289380384,VISA 16 digit,purchase,2024-01-21T05:44:00.000Z,COP,155670
4400691186678,Discover,purchase,2024-01-25T12:09:00.000Z,COP,197328
3513164097045064,Discover,purchase,2024-02-10T12:09:00.000Z,COP,137351
345527124612058,JCB 16 digit,purchase,2024-03-08T15:31:00.000Z,COP,147416
4806902619059426,VISA 16 digit,purchase,2024-02-25T01:54:00.000Z,COP,161875
372716645003048,JCB 16 digit,purchase,2024-03-28T07:58:00.000Z,COP,222060
2711863981768325,Mastercard,cash_advance,2024-03-15T08:25:00.000Z,COP,202903
6513492478461466,Discover,purchase,2024-01-17T02:23:00.000Z,USD,156660
4297511291500,Maestro,cash_advance,2024-01-21T12:56:00.000Z,USD,94700
